method,userId,rank,movieId,title
ALS,1,1,3925,Stranger Than Paradise (1984)
ALS,1,2,177593,"Three Billboards Outside Ebbing, Missouri (2017)"
ALS,1,3,170355,Mulholland Dr. (1999)
ALS,1,4,68945,Neon Genesis Evangelion: Death & Rebirth (Shin seiki Evangelion Gekijô-ban: Shito shinsei) (1997)
ALS,1,5,3379,On the Beach (1959)
ALS,1,6,27156,"Neon Genesis Evangelion: The End of Evangelion (Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni) (1997)"
ALS,1,7,27523,My Sassy Girl (Yeopgijeogin geunyeo) (2001)
ALS,1,8,1235,Harold and Maude (1971)
ALS,1,9,7748,Pierrot le fou (1965)
ALS,1,10,8477,"Jetée, La (1962)"
ALS,2,1,131724,The Jinx: The Life and Deaths of Robert Durst (2015)
ALS,2,2,6818,Come and See (Idi i smotri) (1985)
ALS,2,3,60756,Step Brothers (2008)
ALS,2,4,8477,"Jetée, La (1962)"
ALS,2,5,106782,"Wolf of Wall Street, The (2013)"
ALS,2,6,80139,Jackass 2.5 (2007)
ALS,2,7,27523,My Sassy Girl (Yeopgijeogin geunyeo) (2001)
ALS,2,8,26810,Bad Boy Bubby (1993)
ALS,2,9,6188,Old School (2003)
ALS,2,10,117531,Watermark (2014)
ALS,3,1,70946,Troll 2 (1990)
ALS,3,2,6835,Alien Contamination (1980)
ALS,3,3,5746,Galaxy of Terror (Quest) (1981)
ALS,3,4,7991,Death Race 2000 (1975)
ALS,3,5,5919,Android (1982)
ALS,3,6,5181,Hangar 18 (1980)
ALS,3,7,4518,The Lair of the White Worm (1988)
ALS,3,8,2851,Saturn 3 (1980)
ALS,3,9,7899,Master of the Flying Guillotine (Du bi quan wang da po xue di zi) (1975)
ALS,3,10,5764,Looker (1981)
ALS,4,1,1250,"Bridge on the River Kwai, The (1957)"
ALS,4,2,3851,I'm the One That I Want (2000)
ALS,4,3,2204,Saboteur (1942)
ALS,4,4,1046,Beautiful Thing (1996)
ALS,4,5,1733,Afterglow (1997)
ALS,4,6,1283,High Noon (1952)
ALS,4,7,3365,"Searchers, The (1956)"
ALS,4,8,2186,Strangers on a Train (1951)
ALS,4,9,3044,Dead Again (1991)
ALS,4,10,2583,Cookie's Fortune (1999)
ALS,5,1,177593,"Three Billboards Outside Ebbing, Missouri (2017)"
ALS,5,2,898,"Philadelphia Story, The (1940)"
ALS,5,3,527,Schindler's List (1993)
ALS,5,4,3022,"General, The (1926)"
ALS,5,5,1204,Lawrence of Arabia (1962)
ALS,5,6,3083,All About My Mother (Todo sobre mi madre) (1999)
ALS,5,7,2732,Jules and Jim (Jules et Jim) (1961)
ALS,5,8,912,Casablanca (1942)
ALS,5,9,1283,High Noon (1952)
ALS,5,10,1178,Paths of Glory (1957)
ALS,6,1,3925,Stranger Than Paradise (1984)
ALS,6,2,166528,Rogue One: A Star Wars Story (2016)
ALS,6,3,167746,The Lego Batman Movie (2017)
ALS,6,4,356,Forrest Gump (1994)
ALS,6,5,90866,Hugo (2011)
ALS,6,6,314,"Secret of Roan Inish, The (1994)"
