user_label,real_userId,method,rank,movieId,title
FICTIF_U1,414,ALS,1,6442,Belle époque (1992)
FICTIF_U1,414,ALS,2,5416,Cherish (2002)
FICTIF_U1,414,ALS,3,5328,Rain (2001)
FICTIF_U1,414,ALS,4,5075,Waydowntown (2000)
FICTIF_U1,414,ALS,5,3951,Two Family House (2000)
FICTIF_U1,414,ALS,6,177593,"Three Billboards Outside Ebbing, Missouri (2017)"
FICTIF_U1,414,ALS,7,4117,Hope and Glory (1987)
FICTIF_U1,414,ALS,8,6159,All the Real Girls (2003)
FICTIF_U1,414,ALS,9,1243,Rosencrantz and Guildenstern Are Dead (1990)
FICTIF_U1,414,ALS,10,92475,All Watched Over by Machines of Loving Grace (2011)
FICTIF_U2,599,ALS,1,170355,Mulholland Dr. (1999)
FICTIF_U2,599,ALS,2,68945,Neon Genesis Evangelion: Death & Rebirth (Shin seiki Evangelion Gekijô-ban: Shito shinsei) (1997)
FICTIF_U2,599,ALS,3,3379,On the Beach (1959)
FICTIF_U2,599,ALS,4,27156,"Neon Genesis Evangelion: The End of Evangelion (Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni) (1997)"
FICTIF_U2,599,ALS,5,7748,Pierrot le fou (1965)
FICTIF_U2,599,ALS,6,96004,Dragon Ball Z: The History of Trunks (Doragon bôru Z: Zetsubô e no hankô!! Nokosareta chô senshi - Gohan to Torankusu) (1993)
FICTIF_U2,599,ALS,7,1178,Paths of Glory (1957)
FICTIF_U2,599,ALS,8,3030,Yojimbo (1961)
FICTIF_U2,599,ALS,9,8477,"Jetée, La (1962)"
FICTIF_U2,599,ALS,10,951,His Girl Friday (1940)
FICTIF_U3,474,ALS,1,6201,Lady Jane (1986)
FICTIF_U3,474,ALS,2,4495,Crossing Delancey (1988)
FICTIF_U3,474,ALS,3,2295,"Impostors, The (1998)"
FICTIF_U3,474,ALS,4,5034,"Truly, Madly, Deeply (1991)"
FICTIF_U3,474,ALS,5,8235,Safety Last! (1923)
FICTIF_U3,474,ALS,6,6791,Babette's Feast (Babettes gæstebud) (1987)
FICTIF_U3,474,ALS,7,906,Gaslight (1944)
FICTIF_U3,474,ALS,8,7121,Adam's Rib (1949)
FICTIF_U3,474,ALS,9,1177,Enchanted April (1992)
FICTIF_U3,474,ALS,10,905,It Happened One Night (1934)
FICTIF_U4,448,ALS,1,5490,The Big Bus (1976)
FICTIF_U4,448,ALS,2,5915,Victory (a.k.a. Escape to Victory) (1981)
FICTIF_U4,448,ALS,3,8542,"Day at the Races, A (1937)"
FICTIF_U4,448,ALS,4,3030,Yojimbo (1961)
FICTIF_U4,448,ALS,5,7132,"Night at the Opera, A (1935)"
FICTIF_U4,448,ALS,6,6375,Gigantic (A Tale of Two Johns) (2002)
FICTIF_U4,448,ALS,7,3494,True Grit (1969)
FICTIF_U4,448,ALS,8,5522,Rollerball (1975)
FICTIF_U4,448,ALS,9,1209,Once Upon a Time in the West (C'era una volta il West) (1968)
FICTIF_U4,448,ALS,10,1250,"Bridge on the River Kwai, The (1957)"
FICTIF_U5,274,ALS,1,117531,Watermark (2014)
FICTIF_U5,274,ALS,2,86237,Connections (1978)
FICTIF_U5,274,ALS,3,84273,Zeitgeist: Moving Forward (2011)
FICTIF_U5,274,ALS,4,74226,"Dream of Light (a.k.a. Quince Tree Sun, The) (Sol del membrillo, El) (1992)"
FICTIF_U5,274,ALS,5,7071,"Woman Under the Influence, A (1974)"
FICTIF_U5,274,ALS,6,4708,Marat/Sade (1966)
FICTIF_U5,274,ALS,7,6818,Come and See (Idi i smotri) (1985)
FICTIF_U5,274,ALS,8,3819,Tampopo (1985)
FICTIF_U5,274,ALS,9,2846,"Adventures of Milo and Otis, The (Koneko monogatari) (1986)"
FICTIF_U5,274,ALS,10,167746,The Lego Batman Movie (2017)
FICTIF_U1,414,Content-TFIDF,1,4956,"Stunt Man, The (1980)"
FICTIF_U1,414,Content-TFIDF,2,133545,Just Before I Go (2014)
FICTIF_U1,414,Content-TFIDF,3,47491,Adam's Apples (Adams æbler) (2005)
FICTIF_U1,414,Content-TFIDF,4,528,"Scout, The (1994)"
FICTIF_U1,414,Content-TFIDF,5,141810,Autumn Marathon (1979)
FICTIF_U1,414,Content-TFIDF,6,142372,Our Brand Is Crisis (2015)
FICTIF_U1,414,Content-TFIDF,7,133281,Ricki and the Flash (2015)
FICTIF_U1,414,Content-TFIDF,8,96,In the Bleak Midwinter (1995)
FICTIF_U1,414,Content-TFIDF,9,193571,Silver Spoon (2014)
FICTIF_U1,414,Content-TFIDF,10,148424,Chi-Raq (2015)
FICTIF_U2,599,Content-TFIDF,1,4956,"Stunt Man, The (1980)"
FICTIF_U2,599,Content-TFIDF,2,7007,"Last Boy Scout, The (1991)"
FICTIF_U2,599,Content-TFIDF,3,6990,The Great Train Robbery (1978)
FICTIF_U2,599,Content-TFIDF,4,5657,Flashback (1990)
FICTIF_U2,599,Content-TFIDF,5,42015,Casanova (2005)
FICTIF_U2,599,Content-TFIDF,6,26840,Sonatine (Sonachine) (1993)
FICTIF_U2,599,Content-TFIDF,7,1473,Best Men (1997)
FICTIF_U2,599,Content-TFIDF,8,3716,Fatal Beauty (1987)
FICTIF_U2,599,Content-TFIDF,9,8370,"Blind Swordsman: Zatoichi, The (Zatôichi) (2003)"
FICTIF_U2,599,Content-TFIDF,10,32460,Knockin' on Heaven's Door (1997)
FICTIF_U3,474,Content-TFIDF,1,4,Waiting to Exhale (1995)
FICTIF_U3,474,Content-TFIDF,2,58,"Postman, The (Postino, Il) (1994)"
FICTIF_U3,474,Content-TFIDF,3,26745,Other People's Money (1991)
FICTIF_U3,474,Content-TFIDF,4,184349,Elsa & Fred (2005)
