genre,rating_count,user_count,movie_count,mean_rating,median_rating
Drama,41928,610,4349,3.6562,4.0
Comedy,39053,609,3753,3.3847,3.5
Action,30635,608,1828,3.448,3.5
Thriller,26452,609,1889,3.4937,3.5
Adventure,24161,606,1262,3.5086,3.5
Romance,18124,606,1591,3.5065,3.5
Sci-Fi,17243,605,980,3.4557,3.5
Crime,16681,603,1196,3.6583,4.0
Fantasy,11834,583,778,3.491,3.5
Children,9208,559,664,3.413,3.5
Mystery,7674,580,573,3.6325,4.0
Horror,7291,535,977,3.2582,3.5
Animation,6988,527,610,3.6299,4.0
War,4859,551,381,3.8083,4.0
IMAX,4145,458,158,3.6183,4.0
Musical,4138,470,333,3.5637,3.5
Western,1930,420,167,3.5839,4.0
Documentary,1219,223,438,3.7978,4.0
Film-Noir,870,239,85,3.9201,4.0
